recency,variety_categories,avg_discount,monetary,frequency,total_qty,avg_qty,cluster
1,4,0.0,38904.13,305,7508,24.61639344262295,0
2,4,0.0,40288.83,296,6910,23.344594594594593,0
3,4,0.0,36039.74,287,7163,24.958188153310104,0
1,4,0.08274687854710557,271186.9,289,44318,153.34948096885813,1
7,4,0.08379978471474706,253436.72,299,46184,154.46153846153845,1
0,4,0.0,35749.85,312,6989,22.400641025641026,0
4,4,0.08349282296650717,247201.91,277,42082,151.92057761732852,1
0,4,0.0,45890.74,294,7342,24.972789115646258,0
9,4,0.0,35256.32,305,7634,25.029508196721313,0
1,4,0.08471264367816092,259063.08000000002,293,44551,152.05119453924914,1
5,4,0.0847547974413646,277493.87,312,47627,152.65064102564102,1
5,4,0.08475903614457832,263348.4,280,43029,153.675,1
4,4,0.08607382550335571,227459.38,295,46794,158.62372881355932,1
3,4,0.0,41081.63,292,6962,23.84246575342466,0
8,4,0.0,35974.1,268,6687,24.95149253731343,0
4,4,0.0,50247.909999999996,295,7284,24.691525423728812,0
5,4,0.0825242718446602,222241.1,284,41037,144.49647887323943,1
1,4,0.08171683389074694,223221.43,302,44851,148.51324503311258,1
0,4,0.08340380549682876,246224.22,305,47059,154.29180327868852,1
2,4,0.0,49482.06,302,7013,23.221854304635762,0
1,4,0.0,41273.83,310,7522,24.26451612903226,0
1,4,0.0,38510.5,273,6392,23.413919413919412,0
0,4,0.0,42270.24,289,6770,23.42560553633218,0
1,4,0.0,47592.59,324,7783,24.021604938271604,0
7,4,0.08342792281498297,253525.43,290,45284,156.15172413793104,1
1,4,0.0843568945538818,271986.48,295,43393,147.0949152542373,1
0,4,0.0839066339066339,212098.53,282,42042,149.08510638297872,1
5,4,0.08265792610250298,210311.96,279,40571,145.415770609319,1
3,4,0.08319123020706455,246530.2,280,41571,148.46785714285716,1
4,4,0.0,47534.91,299,7173,23.989966555183948,0
2,4,0.08199279711884754,194445.76,286,41797,146.14335664335664,1
4,4,0.0,39745.82,314,7686,24.477707006369428,0
0,4,0.0842857142857143,247851.05,308,48291,156.78896103896105,1
4,4,0.0,43120.31,308,7344,23.844155844155843,0
0,4,0.08422584400465659,238225.39,295,44692,151.49830508474577,1
1,4,0.0,45629.36,307,7383,24.04885993485342,0
1,4,0.0,48218.05,302,6963,23.056291390728475,0
7,4,0.0836864406779661,259000.05,314,46772,148.95541401273886,1
0,4,0.08411967779056388,284387.53,281,43712,155.55871886120997,1
0,4,0.0841880341880342,231244.54,268,41200,153.73134328358208,1
2,4,0.0,41537.88,277,6865,24.783393501805055,0
4,4,0.0,36242.88,254,5902,23.236220472440944,0
0,4,0.0,40153.19,313,7313,23.364217252396166,0
0,4,0.0,43806.03,293,6678,22.791808873720136,0
1,4,0.08310454065469905,235604.7,331,45363,137.04833836858006,1
0,4,0.08487064116985377,229074.31,290,46593,160.66551724137932,1
0,4,0.0,34475.56,316,7735,24.477848101265824,0
0,4,0.0,33113.71,282,6761,23.97517730496454,0
1,4,0.0,32852.74,312,6804,21.807692307692307,0
1,4,0.0,40552.85,310,6858,22.12258064516129,0
1,4,0.08349256900212315,325488.62,311,46975,151.04501607717043,1
5,4,0.0,39575.5,289,6843,23.67820069204152,0
1,4,0.08235613463626494,267413.02,308,46006,149.37012987012986,1
2,4,0.08354143019296255,274827.83,299,44147,147.64882943143812,1
0,4,0.0,41327.11,287,6913,24.087108013937282,0
3,4,0.0,40079.82,278,6619,23.809352517985612,0
1,4,0.08488108720271802,253560.17,285,46045,161.56140350877192,1
0,4,0.0854265402843602,227754.02,280,42531,151.89642857142857,1
6,4,0.0,40388.82,292,6871,23.53082191780822,0
1,4,0.0,35897.4,314,7414,23.611464968152866,0
1,4,0.0,44911.93,302,7561,25.0364238410596,0
5,4,0.08281250000000001,231074.79,299,45950,153.6789297658863,1
5,4,0.08284625158831004,294688.19,266,38657,145.32706766917292,1
7,4,0.0,50739.48,315,7686,24.4,0
6,4,0.0,38683.45,249,6271,25.184738955823292,0
4,4,0.0,37257.3,298,7142,23.966442953020135,0
3,4,0.08473118279569893,242280.9,307,46958,152.95765472312704,1
4,4,0.0,43161.659999999996,311,7108,22.855305466237944,0
1,4,0.08077330508474577,245049.86,313,44995,143.75399361022363,1
1,4,0.0,47930.65,323,8012,24.804953560371516,0
0,4,0.0,53684.26,317,7689,24.255520504731862,0
3,4,0.0,37534.26,284,7029,24.75,0
3,4,0.08344155844155846,258661.5,308,46657,151.48376623376623,1
0,4,0.0,43568.92,285,7023,24.642105263157895,0
2,4,0.0,39160.64,295,6878,23.315254237288137,0
0,4,0.0,45370.97,301,7358,24.44518272425249,0
1,4,0.0,38980.98,299,7029,23.50836120401338,0
0,4,0.0,42770.15,309,7112,23.016181229773462,0
9,4,0.0,50600.15,305,7289,23.898360655737704,0
10,4,0.0,33471.02,278,6374,22.928057553956833,0
0,4,0.08270676691729323,228397.35,267,39942,149.59550561797752,1
0,4,0.0,33555.56,276,6159,22.315217391304348,0
0,4,0.0,46946.44,309,7026,22.737864077669904,0
2,4,0.08459715639810428,233593.5,293,42617,145.4505119453925,1
2,4,0.0,41452.97,294,7056,24.0,0
1,4,0.0,48274.71,313,7360,23.51437699680511,0
9,4,0.0,40649.83,294,7331,24.935374149659864,0
0,4,0.08285714285714285,273404.88,320,47342,147.94375,1
0,4,0.0,38643.84,281,7279,25.90391459074733,0
1,4,0.0832552693208431,236886.77,284,42518,149.7112676056338,1
1,4,0.0,35094.52,242,6038,24.950413223140497,0
1,4,0.0,43127.69,278,6813,24.507194244604317,0
4,4,0.0,54830.13,333,8129,24.41141141141141,0
0,4,0.0,43052.56,286,7418,25.937062937062937,0
2,4,0.08445229681978798,313885.81,284,43174,152.0211267605634,1
5,4,0.0,39261.78,301,7306,24.272425249169434,0
2,4,0.08440046565774156,269349.37,290,44309,152.7896551724138,1
0,4,0.08532482598607888,317898.7,291,45211,155.36426116838487,1
0,4,0.0837962962962963,213442.16,291,43807,150.53951890034364,1
6,4,0.0,36951.99,290,7366,25.4,0
1,4,0.0,35810.03,297,6890,23.198653198653197,0
1,4,0.0,50366.49,315,7762,24.641269841269843,0
1,4,0.08312849162011174,234433.79,293,44263,151.06825938566553,1
0,4,0.0,46852.94,309,7465,24.158576051779935,0
22,4,0.0,35578.4,281,6904,24.569395017793596,0
8,4,0.0,35610.0,283,6796,24.014134275618375,0
9,4,0.08243087557603686,221175.95,292,42951,147.09246575342465,1
1,4,0.0,45938.57,316,7423,23.490506329113924,0
4,4,0.0,47811.159999999996,308,6984,22.675324675324674,0
0,4,0.0,41029.15,300,7290,24.3,0
1,4,0.0,44589.18,293,7198,24.56655290102389,0
2,4,0.0,43127.4,291,6957,23.90721649484536,0
0,4,0.0,36380.49,274,6818,24.883211678832115,0
3,4,0.08307607497243662,292121.69,306,47532,155.33333333333334,1
3,4,0.08286458333333332,291947.19,318,49066,154.29559748427673,1
1,4,0.0,39739.5,295,6741,22.85084745762712,0
3,4,0.0,51991.79,325,7963,24.501538461538463,0
2,4,0.08181818181818182,250455.06,307,47468,154.61889250814332,1
4,4,0.0,45928.07,308,7415,24.074675324675326,0
1,4,0.08721198156682028,247582.33,294,45784,155.7278911564626,1
4,4,0.08319283456269758,286660.84,308,48375,157.0616883116883,1
5,4,0.0831981460023175,210799.67,289,43738,151.3425605536332,1
1,4,0.0,29230.56,307,7075,23.04560260586319,0
1,4,0.0,42886.27,303,7535,24.86798679867987,0
4,4,0.0,46275.43,336,8476,25.226190476190474,0
2,4,0.0,33949.85,268,6117,22.824626865671643,0
2,4,0.08272946859903382,219028.79,291,40976,140.8109965635739,1
3,4,0.0,41318.38,282,6595,23.386524822695037,0
3,4,0.0,41688.92,300,7038,23.46,0
2,4,0.08523255813953488,247545.1,286,43412,151.7902097902098,1
3,4,0.08262370540851553,283780.32,295,43562,147.6677966101695,1
0,4,0.0,46473.479999999996,277,6624,23.91335740072202,0
7,4,0.0,42228.7,296,7213,24.368243243243242,0
0,4,0.0,51814.28,288,7484,25.98611111111111,0
2,4,0.0,49598.37,353,8628,24.441926345609065,0
1,4,0.0,41388.19,292,6657,22.79794520547945,0
0,4,0.0,46211.07,311,7841,25.212218649517684,0
4,4,0.0,37841.31,269,6538,24.304832713754646,0
1,4,0.0,39181.659999999996,283,6593,23.296819787985864,0
3,4,0.08419864559819414,280158.35,302,46031,152.4205298013245,1
0,4,0.08324768756423433,283636.69,332,50686,152.66867469879517,1
1,4,0.0,50523.19,320,7879,24.621875,0
0,4,0.0,42899.1,313,7647,24.431309904153355,0
12,4,0.0,48639.47,312,7719,24.740384615384617,0
3,4,0.08437170010559662,232725.76,302,47533,157.39403973509934,1
2,4,0.0,48547.91,313,7400,23.642172523961662,0
3,4,0.0,38850.61,291,7134,24.515463917525775,0
10,4,0.08486766398158803,285451.88,290,44327,152.85172413793103,1
0,4,0.0,38402.48,259,6070,23.436293436293436,0
0,4,0.0,39348.63,280,6719,23.99642857142857,0
0,4,0.08159090909090909,245718.22,293,43532,148.57337883959045,1
0,4,0.08363821138211382,300426.06,319,48999,153.60188087774296,1
2,4,0.0,51608.53,320,7685,24.015625,0
2,4,0.0,42143.15,306,7049,23.035947712418302,0
3,4,0.0,46483.06,314,7223,23.003184713375795,0
2,4,0.0,47141.73,296,7270,24.56081081081081,0
0,4,0.0,43930.38,298,6927,23.24496644295302,0
0,4,0.08295165394402036,221635.45,268,38023,141.87686567164178,1
6,4,0.0,39581.5,271,6425,23.70848708487085,0
2,4,0.08490338164251207,255984.0,270,42571,157.67037037037036,1
2,4,0.0,37244.26,273,6658,24.388278388278387,0
3,4,0.08149236192714454,231969.04,287,41820,145.71428571428572,1
5,4,0.0,37451.7,305,7351,24.101639344262296,0
0,4,0.0,46584.87,333,7617,22.873873873873872,0
7,4,0.08462837837837839,235206.22,304,44869,147.5953947368421,1
2,4,0.0,57999.34,336,8491,25.270833333333332,0
1,4,0.0,31347.72,275,6797,24.716363636363635,0
6,4,0.0,44869.35,306,7143,23.34313725490196,0
1,4,0.0,53292.2,321,7511,23.398753894080997,0
2,4,0.08327625570776256,257414.84,291,45718,157.10652920962198,1
1,4,0.0,39029.34,292,7142,24.458904109589042,0
0,4,0.0,45681.58,316,7706,24.38607594936709,0
21,4,0.08492239467849225,270224.57,307,46570,151.69381107491856,1
2,4,0.0,40816.37,275,6432,23.38909090909091,0
4,4,0.0,38320.97,293,6745,23.02047781569966,0
2,4,0.0,50352.18,322,7793,24.20186335403727,0
2,4,0.0,45204.08,305,6964,22.832786885245902,0
0,4,0.0,48382.56,311,7339,23.59807073954984,0
10,4,0.0,35902.99,303,7258,23.953795379537954,0
2,4,0.0,44218.66,301,7328,24.345514950166113,0
0,4,0.0,45950.2,315,7092,22.514285714285716,0
3,4,0.0,45026.89,309,7389,23.9126213592233,0
4,4,0.0,38258.61,296,6787,22.929054054054053,0
8,4,0.08304392236976506,282889.98,324,49264,152.0493827160494,1
5,4,0.0,45726.1,334,7850,23.50299401197605,0
1,4,0.0,34971.64,267,6735,25.224719101123597,0
3,4,0.0,38909.55,318,7984,25.10691823899371,0
4,4,0.08521358159912376,245992.86000000002,308,46495,150.9577922077922,1
7,4,0.0,33280.79,278,6786,24.41007194244604,0
0,4,0.0,46843.36,312,7466,23.92948717948718,0
17,4,0.08109480812641084,251444.6,294,44143,150.14625850340136,1
13,4,0.08340336134453782,216080.95,247,35392,143.28744939271255,1
3,4,0.0,38657.17,299,6890,23.043478260869566,0
3,4,0.08351893095768374,241283.51,298,44442,149.13422818791946,1
1,4,0.08415112855740922,226005.79,324,50788,156.7530864197531,1
4,4,0.0,38136.659999999996,305,7067,23.17049180327869,0
3,4,0.0,45178.06,305,7226,23.691803278688525,0
7,4,0.0,40134.37,290,7136,24.606896551724137,0
0,4,0.0,40506.24,281,6703,23.85409252669039,0
6,4,0.0,55329.9,296,7511,25.375,0
5,4,0.0,43096.83,316,7687,24.325949367088608,0
3,4,0.0,42139.04,306,7817,25.545751633986928,0
3,4,0.0,38324.48,267,6336,23.730337078651687,0
4,4,0.08601440576230493,259726.33,292,43756,149.84931506849315,1
0,4,0.0,44825.22,308,7122,23.123376623376622,0
0,4,0.0,43072.86,312,7731,24.778846153846153,0
